age,confirmed_cases,death_cases,date,date_dt
40s,3952045,397.0,2022-11-08,2022-11-08
50s,3314889,1220.0,2022-11-08,2022-11-08
60s,2745345,3392.0,2022-11-08,2022-11-08
70s,1373951,6742.0,2022-11-08,2022-11-08
over_80s,813752,17406.0,2022-11-08,2022-11-08
under_10s,2820442,34.0,2022-11-07,2022-11-07
10s,3299072,17.0,2022-11-07,2022-11-07
20s,3802374,74.0,2022-11-07,2022-11-07
30s,3767933,138.0,2022-11-07,2022-11-07
40s,3942241,396.0,2022-11-07,2022-11-07
50s,3306249,1219.0,2022-11-07,2022-11-07
60s,2737864,3388.0,2022-11-07,2022-11-07
70s,1369450,6734.0,2022-11-07,2022-11-07
over_80s,811285,17390.0,2022-11-07,2022-11-07
under_10s,2818812,34.0,2022-11-06,2022-11-06
10s,3296802,17.0,2022-11-06,2022-11-06
20s,3799942,74.0,2022-11-06,2022-11-06
30s,3765053,138.0,2022-11-06,2022-11-06
40s,3939277,396.0,2022-11-06,2022-11-06
50s,3303808,1219.0,2022-11-06,2022-11-06
60s,2735815,3386.0,2022-11-06,2022-11-06
70s,1368307,6733.0,2022-11-06,2022-11-06
over_80s,810423,17375.0,2022-11-06,2022-11-06
under_10s,2816489,34.0,2022-11-05,2022-11-05
10s,3292722,17.0,2022-11-05,2022-11-05
20s,3795554,74.0,2022-11-05,2022-11-05
30s,3760151,138.0,2022-11-05,2022-11-05
40s,3933991,396.0,2022-11-05,2022-11-05
50s,3298370,1219.0,2022-11-05,2022-11-05
60s,2730664,3385.0,2022-11-05,2022-11-05
70s,1365216,6730.0,2022-11-05,2022-11-05
over_80s,808407,17361.0,2022-11-05,2022-11-05
under_10s,2813886,34.0,2022-11-04,2022-11-04
10s,3287916,17.0,2022-11-04,2022-11-04
20s,3790411,74.0,2022-11-04,2022-11-04
30s,3754813,138.0,2022-11-04,2022-11-04
40s,3928277,396.0,2022-11-04,2022-11-04
50s,3292454,1217.0,2022-11-04,2022-11-04
60s,2725048,3384.0,2022-11-04,2022-11-04
70s,1361837,6716.0,2022-11-04,2022-11-04
over_80s,806059,17339.0,2022-11-04,2022-11-04
under_10s,2811120,34.0,2022-11-03,2022-11-03
10s,3282896,17.0,2022-11-03,2022-11-03
20s,3784676,74.0,2022-11-03,2022-11-03
30s,3749003,138.0,2022-11-03,2022-11-03
40s,3922115,396.0,2022-11-03,2022-11-03
50s,3286069,1215.0,2022-11-03,2022-11-03
60s,2719060,3382.0,2022-11-03,2022-11-03
70s,1358446,6710.0,2022-11-03,2022-11-03
over_80s,803892,17314.0,2022-11-03,2022-11-03
under_10s,2808217,34.0,2022-11-02,2022-11-02
10s,3277765,17.0,2022-11-02,2022-11-02
20s,3778338,74.0,2022-11-02,2022-11-02
30s,3742317,138.0,2022-11-02,2022-11-02
40s,3915009,396.0,2022-11-02,2022-11-02
50s,3279315,1213.0,2022-11-02,2022-11-02
60s,2712894,3375.0,2022-11-02,2022-11-02
70s,1354858,6704.0,2022-11-02,2022-11-02
over_80s,801694,17288.0,2022-11-02,2022-11-02
under_10s,2808217,34.0,2022-11-02,2022-11-02
10s,3277765,17.0,2022-11-02,2022-11-02
20s,3778338,74.0,2022-11-02,2022-11-02
30s,3742317,138.0,2022-11-02,2022-11-02
40s,3915009,396.0,2022-11-02,2022-11-02
50s,3279315,1213.0,2022-11-02,2022-11-02
60s,2712894,3375.0,2022-11-02,2022-11-02
70s,1354858,6704.0,2022-11-02,2022-11-02
over_80s,801694,17288.0,2022-11-02,2022-11-02
under_10s,2804887,34.0,2022-11-01,2022-11-01
10s,3271149,17.0,2022-11-01,2022-11-01
20s,3770873,74.0,2022-11-01,2022-11-01
30s,3734558,138.0,2022-11-01,2022-11-01
40s,3907026,396.0,2022-11-01,2022-11-01
50s,3271658,1212.0,2022-11-01,2022-11-01
60s,2706084,3372.0,2022-11-01,2022-11-01
70s,1350691,6697.0,2022-11-01,2022-11-01
over_80s,798741,17269.0,2022-11-01,2022-11-01
under_10s,2801216,34.0,2022-10-31,2022-10-31
10s,3263047,17.0,2022-10-31,2022-10-31
20s,3763182,74.0,2022-10-31,2022-10-31
30s,3725967,138.0,2022-10-31,2022-10-31
40s,3897920,396.0,2022-10-31,2022-10-31
50s,3263652,1212.0,2022-10-31,2022-10-31
60s,2699327,3370.0,2022-10-31,2022-10-31
70s,1346544,6690.0,2022-10-31,2022-10-31
over_80s,796454,17245.0,2022-10-31,2022-10-31
under_10s,2799632,34.0,2022-10-31,2022-10-31
10s,3260522,17.0,2022-10-31,2022-10-31
20s,3760790,74.0,2022-10-31,2022-10-31
30s,3723126,138.0,2022-10-31,2022-10-31
40s,3895029,396.0,2022-10-31,2022-10-31
50s,3261325,1210.0,2022-10-31,2022-10-31
60s,2697355,3369.0,2022-10-31,2022-10-31
70s,1345414,6685.0,2022-10-31,2022-10-31
over_80s,795606,17235.0,2022-10-31,2022-10-31
under_10s,2799632,34.0,2022-10-30,2022-10-30
10s,3260522,17.0,2022-10-30,2022-10-30
20s,3760790,74.0,2022-10-30,2022-10-30
30s,3723126,138.0,2022-10-30,2022-10-30
40s,3895029,396.0,2022-10-30,2022-10-30
50s,3261325,1210.0,2022-10-30,2022-10-30
60s,2697355,3369.0,2022-10-30,2022-10-30
70s,1345414,6685.0,2022-10-30,2022-10-30
over_80s,795606,17235.0,2022-10-30,2022-10-30
under_10s,2797577,34.0,2022-10-29,2022-10-29
10s,3256415,17.0,2022-10-29,2022-10-29
20s,3756652,74.0,2022-10-29,2022-10-29
30s,3718643,138.0,2022-10-29,2022-10-29
40s,3889877,396.0,2022-10-29,2022-10-29
50s,3256361,1208.0,2022-10-29,2022-10-29
60s,2692585,3367.0,2022-10-29,2022-10-29
70s,1342519,6681.0,2022-10-29,2022-10-29
over_80s,793659,17216.0,2022-10-29,2022-10-29
under_10s,2795256,34.0,2022-10-28,2022-10-28
10s,3251791,17.0,2022-10-28,2022-10-28
20s,3752076,74.0,2022-10-28,2022-10-28
30s,3713799,138.0,2022-10-28,2022-10-28
40s,3884523,396.0,2022-10-28,2022-10-28
50s,3250926,1206.0,2022-10-28,2022-10-28
60s,2687465,3361.0,2022-10-28,2022-10-28
70s,1339484,6677.0,2022-10-28,2022-10-28
over_80s,791672,17197.0,2022-10-28,2022-10-28
under_10s,2793035,34.0,2022-10-27,2022-10-27
10s,3247449,17.0,2022-10-27,2022-10-27
20s,3747467,74.0,2022-10-27,2022-10-27
30s,3708849,138.0,2022-10-27,2022-10-27
40s,3879304,396.0,2022-10-27,2022-10-27
50s,3245803,1203.0,2022-10-27,2022-10-27
60s,2682598,3356.0,2022-10-27,2022-10-27
70s,1336741,6669.0,2022-10-27,2022-10-27
over_80s,789859,17182.0,2022-10-27,2022-10-27
under_10s,2790831,34.0,2022-10-26,2022-10-26
10s,3243482,17.0,2022-10-26,2022-10-26
20s,3742955,74.0,2022-10-26,2022-10-26
30s,3703992,138.0,2022-10-26,2022-10-26
40s,3874000,396.0,2022-10-26,2022-10-26
50s,3240760,1203.0,2022-10-26,2022-10-26
60s,2677962,3354.0,2022-10-26,2022-10-26
70s,1334052,6664.0,2022-10-26,2022-10-26
over_80s,788121,17163.0,2022-10-26,2022-10-26
under_10s,2788281,34.0,2022-10-25,2022-10-25
10s,3238565,17.0,2022-10-25,2022-10-25
20s,3737796,74.0,2022-10-25,2022-10-25
30s,3698197,138.0,2022-10-25,2022-10-25
40s,3868068,395.0,2022-10-25,2022-10-25
50s,3235039,1202.0,2022-10-25,2022-10-25
60s,2672664,3352.0,2022-10-25,2022-10-25
70s,1330863,6655.0,2022-10-25,2022-10-25
over_80s,785877,17150.0,2022-10-25,2022-10-25
under_10s,2785387,34.0,2022-10-24,2022-10-24
10s,3232638,17.0,2022-10-24,2022-10-24
20s,3732317,73.0,2022-10-24,2022-10-24
30s,3691734,138.0,2022-10-24,2022-10-24
40s,3861294,395.0,2022-10-24,2022-10-24
50s,3228847,1201.0,2022-10-24,2022-10-24
60s,2667599,3350.0,2022-10-24,2022-10-24
70s,1327630,6653.0,2022-10-24,2022-10-24
over_80s,784190,17139.0,2022-10-24,2022-10-24
under_10s,2784137,34.0,2022-10-23,2022-10-23
10s,3230773,17.0,2022-10-23,2022-10-23
20s,3730503,73.0,2022-10-23,2022-10-23
30s,3689561,138.0,2022-10-23,2022-10-23
40s,3859009,395.0,2022-10-23,2022-10-23
50s,3226978,1201.0,2022-10-23,2022-10-23
60s,2666060,3346.0,2022-10-23,2022-10-23
70s,1326765,6652.0,2022-10-23,2022-10-23
over_80s,783548,17134.0,2022-10-23,2022-10-23
under_10s,2782501,34.0,2022-10-22,2022-10-22
10s,3227716,17.0,2022-10-22,2022-10-22
20s,3727605,73.0,2022-10-22,2022-10-22
30s,3686061,138.0,2022-10-22,2022-10-22
40s,3855115,395.0,2022-10-22,2022-10-22
50s,3222998,1199.0,2022-10-22,2022-10-22
60s,2662415,3345.0,2022-10-22,2022-10-22
70s,1324499,6649.0,2022-10-22,2022-10-22
over_80s,782168,17124.0,2022-10-22,2022-10-22
under_10s,2780835,34.0,2022-10-21,2022-10-21
10s,3224495,17.0,2022-10-21,2022-10-21
20s,3724376,73.0,2022-10-21,2022-10-21
30s,3682409,138.0,2022-10-21,2022-10-21
40s,3851228,394.0,2022-10-21,2022-10-21
50s,3219193,1197.0,2022-10-21,2022-10-21
60s,2658701,3345.0,2022-10-21,2022-10-21
70s,1322233,6643.0,2022-10-21,2022-10-21
over_80s,780785,17111.0,2022-10-21,2022-10-21
under_10s,2779168,34.0,2022-10-20,2022-10-20
10s,3221713,17.0,2022-10-20,2022-10-20
20s,3721341,73.0,2022-10-20,2022-10-20
30s,3679065,137.0,2022-10-20,2022-10-20
40s,3847668,393.0,2022-10-20,2022-10-20
50s,3215577,1194.0,2022-10-20,2022-10-20
60s,2655258,3343.0,2022-10-20,2022-10-20
70s,1320259,6635.0,2022-10-20,2022-10-20
over_80s,779497,17096.0,2022-10-20,2022-10-20
under_10s,2777595,34.0,2022-10-19,2022-10-19
10s,3219025,17.0,2022-10-19,2022-10-19
20s,3718094,73.0,2022-10-19,2022-10-19
30s,3675447,137.0,2022-10-19,2022-10-19
40s,3843836,393.0,2022-10-19,2022-10-19
50s,3211824,1194.0,2022-10-19,2022-10-19
60s,2651782,3342.0,2022-10-19,2022-10-19
70s,1318291,6634.0,2022-10-19,2022-10-19
over_80s,778283,17075.0,2022-10-19,2022-10-19
under_10s,2775789,34.0,2022-10-18,2022-10-18
10s,3215573,17.0,2022-10-18,2022-10-18
20s,3714365,73.0,2022-10-18,2022-10-18
30s,3671424,137.0,2022-10-18,2022-10-18
40s,3839432,393.0,2022-10-18,2022-10-18
50s,3207556,1192.0,2022-10-18,2022-10-18
60s,2647854,3335.0,2022-10-18,2022-10-18
70s,1315924,6626.0,2022-10-18,2022-10-18
over_80s,776778,17049.0,2022-10-18,2022-10-18
under_10s,2773626,34.0,2022-10-17,2022-10-17
10s,3211235,17.0,2022-10-17,2022-10-17
20s,3710148,73.0,2022-10-17,2022-10-17
30s,3666502,137.0,2022-10-17,2022-10-17
40s,3834290,394.0,2022-10-17,2022-10-17
50s,3202777,1192.0,2022-10-17,2022-10-17
60s,2643928,3333.0,2022-10-17,2022-10-17
70s,1313534,6623.0,2022-10-17,2022-10-17
over_80s,775465,17048.0,2022-10-17,2022-10-17
under_10s,2772669,34.0,2022-10-16,2022-10-16
10s,3209853,17.0,2022-10-16,2022-10-16
20s,3708702,73.0,2022-10-16,2022-10-16
30s,3664810,137.0,2022-10-16,2022-10-16
40s,3832560,393.0,2022-10-16,2022-10-16
50s,3201334,1190.0,2022-10-16,2022-10-16
60s,2642696,3333.0,2022-10-16,2022-10-16
70s,1312862,6621.0,2022-10-16,2022-10-16
over_80s,774979,17042.0,2022-10-16,2022-10-16
under_10s,2771276,34.0,2022-10-15,2022-10-15
10s,3207434,17.0,2022-10-15,2022-10-15
20s,3706150,73.0,2022-10-15,2022-10-15
30s,3661996,136.0,2022-10-15,2022-10-15
40s,3829581,393.0,2022-10-15,2022-10-15
50s,3198055,1190.0,2022-10-15,2022-10-15
60s,2639636,3330.0,2022-10-15,2022-10-15
70s,1311054,6616.0,2022-10-15,2022-10-15
over_80s,773814,17019.0,2022-10-15,2022-10-15
under_10s,2769762,34.0,2022-10-14,2022-10-14
10s,3204813,17.0,2022-10-14,2022-10-14
20s,3703220,73.0,2022-10-14,2022-10-14
30s,3658966,136.0,2022-10-14,2022-10-14
40s,3826386,393.0,2022-10-14,2022-10-14
50s,3194832,1190.0,2022-10-14,2022-10-14
60s,2636470,3329.0,2022-10-14,2022-10-14
70s,1309107,6608.0,2022-10-14,2022-10-14
over_80s,772683,17003.0,2022-10-14,2022-10-14
under_10s,2768184,34.0,2022-10-13,2022-10-13
10s,3202189,17.0,2022-10-13,2022-10-13
20s,3700161,73.0,2022-10-13,2022-10-13
30s,3655628,136.0,2022-10-13,2022-10-13
40s,3822884,393.0,2022-10-13,2022-10-13
50s,3191417,1189.0,2022-10-13,2022-10-13
60s,2633260,3323.0,2022-10-13,2022-10-13
70s,1307331,6602.0,2022-10-13,2022-10-13
over_80s,771623,16981.0,2022-10-13,2022-10-13
under_10s,2766333,34.0,2022-10-12,2022-10-12
10s,3199195,16.0,2022-10-12,2022-10-12
20s,3696444,73.0,2022-10-12,2022-10-12
30s,3651911,136.0,2022-10-12,2022-10-12
40s,3818963,393.0,2022-10-12,2022-10-12
50s,3187673,1188.0,2022-10-12,2022-10-12
60s,2629705,3320.0,2022-10-12,2022-10-12
70s,1305197,6597.0,2022-10-12,2022-10-12
over_80s,770328,16966.0,2022-10-12,2022-10-12
under_10s,2764289,34.0,2022-10-11,2022-10-11
10s,3195407,16.0,2022-10-11,2022-10-11
20s,3692331,73.0,2022-10-11,2022-10-11
30s,3647576,136.0,2022-10-11,2022-10-11
40s,3814335,393.0,2022-10-11,2022-10-11
50s,3183396,1188.0,2022-10-11,2022-10-11
60s,2625940,3319.0,2022-10-11,2022-10-11
70s,1302822,6593.0,2022-10-11,2022-10-11
over_80s,769150,16956.0,2022-10-11,2022-10-11
under_10s,2763063,34.0,2022-10-10,2022-10-10
10s,3193554,16.0,2022-10-10,2022-10-10
20s,3690216,73.0,2022-10-10,2022-10-10
30s,3645226,136.0,2022-10-10,2022-10-10
40s,3811901,392.0,2022-10-10,2022-10-10
50s,3181187,1188.0,2022-10-10,2022-10-10
60s,2624173,3319.0,2022-10-10,2022-10-10
70s,1301878,6592.0,2022-10-10,2022-10-10
over_80s,768572,16948.0,2022-10-10,2022-10-10
under_10s,2762212,34.0,2022-10-09,2022-10-09
10s,3192453,16.0,2022-10-09,2022-10-09
20s,3689095,73.0,2022-10-09,2022-10-09
30s,3643919,136.0,2022-10-09,2022-10-09
40s,3810557,392.0,2022-10-09,2022-10-09
50s,3179991,1188.0,2022-10-09,2022-10-09
60s,2623128,3318.0,2022-10-09,2022-10-09
70s,1301247,6583.0,2022-10-09,2022-10-09
over_80s,768187,16935.0,2022-10-09,2022-10-09
under_10s,2760982,34.0,2022-10-08,2022-10-08
10s,3190527,16.0,2022-10-08,2022-10-08
20s,3686877,73.0,2022-10-08,2022-10-08
30s,3641707,136.0,2022-10-08,2022-10-08
40s,3808129,392.0,2022-10-08,2022-10-08
50s,3177405,1188.0,2022-10-08,2022-10-08
60s,2620580,3314.0,2022-10-08,2022-10-08
70s,1299692,6576.0,2022-10-08,2022-10-08
over_80s,767236,16917.0,2022-10-08,2022-10-08
under_10s,2759682,34.0,2022-10-07,2022-10-07
10s,3188315,16.0,2022-10-07,2022-10-07
20s,3684387,73.0,2022-10-07,2022-10-07
30s,3639246,136.0,2022-10-07,2022-10-07
40s,3805451,392.0,2022-10-07,2022-10-07
50s,3174710,1188.0,2022-10-07,2022-10-07
60s,2617727,3308.0,2022-10-07,2022-10-07
70s,1297928,6568.0,2022-10-07,2022-10-07
over_80s,766310,16899.0,2022-10-07,2022-10-07
under_10s,2758008,34.0,2022-10-06,2022-10-06
10s,3185877,16.0,2022-10-06,2022-10-06
20s,3681325,72.0,2022-10-06,2022-10-06
30s,3636215,135.0,2022-10-06,2022-10-06
40s,3802402,391.0,2022-10-06,2022-10-06
50s,3171547,1188.0,2022-10-06,2022-10-06
60s,2614648,3304.0,2022-10-06,2022-10-06
70s,1296179,6562.0,2022-10-06,2022-10-06
over_80s,765296,16871.0,2022-10-06,2022-10-06
under_10s,2756121,34.0,2022-10-05,2022-10-05
10s,3182768,16.0,2022-10-05,2022-10-05
20s,3677428,72.0,2022-10-05,2022-10-05
30s,3632259,134.0,2022-10-05,2022-10-05
40s,3798245,390.0,2022-10-05,2022-10-05
50s,3167492,1184.0,2022-10-05,2022-10-05
60s,2610864,3297.0,2022-10-05,2022-10-05
70s,1293867,6557.0,2022-10-05,2022-10-05
over_80s,763850,16860.0,2022-10-05,2022-10-05
under_10s,2753711,34.0,2022-10-04,2022-10-04
10s,3178466,16.0,2022-10-04,2022-10-04
20s,3672729,72.0,2022-10-04,2022-10-04
30s,3627301,134.0,2022-10-04,2022-10-04
40s,3793090,390.0,2022-10-04,2022-10-04
50s,3162728,1184.0,2022-10-04,2022-10-04
60s,2606567,3296.0,2022-10-04,2022-10-04
70s,1291148,6554.0,2022-10-04,2022-10-04
over_80s,762444,16848.0,2022-10-04,2022-10-04
under_10s,2747054,34.0,2022-09-30,2022-09-30
10s,3168905,16.0,2022-09-30,2022-09-30
20s,3662694,72.0,2022-09-30,2022-09-30
30s,3616583,134.0,2022-09-30,2022-09-30
40s,3781663,390.0,2022-09-30,2022-09-30
50s,3151926,1177.0,2022-09-30,2022-09-30
60s,2596249,3284.0,2022-09-30,2022-09-30
70s,1285181,6522.0,2022-09-30,2022-09-30
over_80s,758846,16777.0,2022-09-30,2022-09-30
under_10s,2742690,33.0,2022-09-28,2022-09-28
10s,3161920,16.0,2022-09-28,2022-09-28
20s,3654523,72.0,2022-09-28,2022-09-28
30s,3608590,134.0,2022-09-28,2022-09-28
40s,3773138,388.0,2022-09-28,2022-09-28
50s,3143583,1174.0,2022-09-28,2022-09-28
60s,2588404,3278.0,2022-09-28,2022-09-28
70s,1280729,6505.0,2022-09-28,2022-09-28
over_80s,756212,16718.0,2022-09-28,2022-09-28
under_10s,2740054,33.0,2022-09-27,2022-09-27
10s,3157531,16.0,2022-09-27,2022-09-27
20s,3649422,72.0,2022-09-27,2022-09-27
30s,3603569,134.0,2022-09-27,2022-09-27
40s,3767978,387.0,2022-09-27,2022-09-27
50s,3138601,1172.0,2022-09-27,2022-09-27
60s,2583837,3270.0,2022-09-27,2022-09-27
70s,1278164,6500.0,2022-09-27,2022-09-27
over_80s,754507,16688.0,2022-09-27,2022-09-27
under_10s,2731118,32.0,2022-09-23,2022-09-23
10s,3143571,16.0,2022-09-23,2022-09-23
20s,3635399,72.0,2022-09-23,2022-09-23
30s,3588954,133.0,2022-09-23,2022-09-23
40s,3752013,385.0,2022-09-23,2022-09-23
50s,3123838,1169.0,2022-09-23,2022-09-23
60s,2570336,3255.0,2022-09-23,2022-09-23
70s,1269988,6462.0,2022-09-23,2022-09-23
over_80s,749804,16553.0,2022-09-23,2022-09-23
under_10s,2728853,32.0,2022-09-22,2022-09-22
10s,3140046,16.0,2022-09-22,2022-09-22
20s,3631439,71.0,2022-09-22,2022-09-22
30s,3585078,133.0,2022-09-22,2022-09-22
40s,3747853,381.0,2022-09-22,2022-09-22
50s,3119916,1168.0,2022-09-22,2022-09-22
60s,2566569,3250.0,2022-09-22,2022-09-22
70s,1267748,6453.0,2022-09-22,2022-09-22
over_80s,748438,16505.0,2022-09-22,2022-09-22
under_10s,2726252,32.0,2022-09-21,2022-09-21
10s,3136238,16.0,2022-09-21,2022-09-21
20s,3626658,71.0,2022-09-21,2022-09-21
30s,3580408,133.0,2022-09-21,2022-09-21
40s,3743177,381.0,2022-09-21,2022-09-21
50s,3115490,1166.0,2022-09-21,2022-09-21
60s,2562393,3246.0,2022-09-21,2022-09-21
70s,1265327,6439.0,2022-09-21,2022-09-21
over_80s,747025,16466.0,2022-09-21,2022-09-21
under_10s,2723087,32.0,2022-09-20,2022-09-20
10s,3131178,16.0,2022-09-20,2022-09-20
20s,3620857,70.0,2022-09-20,2022-09-20
30s,3574826,132.0,2022-09-20,2022-09-20
40s,3737361,380.0,2022-09-20,2022-09-20
50s,3109978,1163.0,2022-09-20,2022-09-20
60s,2557140,3239.0,2022-09-20,2022-09-20
70s,1262275,6425.0,2022-09-20,2022-09-20
over_80s,745035,16434.0,2022-09-20,2022-09-20
under_10s,2719058,32.0,2022-09-19,2022-09-19
10s,3124650,16.0,2022-09-19,2022-09-19
20s,3614490,70.0,2022-09-19,2022-09-19
30s,3568241,132.0,2022-09-19,2022-09-19
40s,3730260,380.0,2022-09-19,2022-09-19
50s,3103371,1161.0,2022-09-19,2022-09-19
60s,2551648,3234.0,2022-09-19,2022-09-19
70s,1258919,6419.0,2022-09-19,2022-09-19
over_80s,743236,16423.0,2022-09-19,2022-09-19
under_10s,2716966,32.0,2022-09-18,2022-09-18
10s,3122214,16.0,2022-09-18,2022-09-18
20s,3611786,70.0,2022-09-18,2022-09-18
30s,3565432,131.0,2022-09-18,2022-09-18
40s,3727402,380.0,2022-09-18,2022-09-18
50s,3100980,1160.0,2022-09-18,2022-09-18
60s,2549484,3233.0,2022-09-18,2022-09-18
70s,1257726,6414.0,2022-09-18,2022-09-18
over_80s,742476,16392.0,2022-09-18,2022-09-18
under_10s,2714226,32.0,2022-09-17,2022-09-17
10s,3118034,16.0,2022-09-17,2022-09-17
20s,3607368,70.0,2022-09-17,2022-09-17
30s,3561077,131.0,2022-09-17,2022-09-17
40s,3722530,380.0,2022-09-17,2022-09-17
50s,3096048,1158.0,2022-09-17,2022-09-17
60s,2544638,3227.0,2022-09-17,2022-09-17
70s,1254974,6400.0,2022-09-17,2022-09-17
over_80s,740807,16368.0,2022-09-17,2022-09-17
under_10s,2710784,32.0,2022-09-16,2022-09-16
10s,3112740,16.0,2022-09-16,2022-09-16
20s,3601224,70.0,2022-09-16,2022-09-16
30s,3555165,131.0,2022-09-16,2022-09-16
40s,3716675,380.0,2022-09-16,2022-09-16
50s,3090240,1158.0,2022-09-16,2022-09-16
60s,2539100,3222.0,2022-09-16,2022-09-16
70s,1251633,6385.0,2022-09-16,2022-09-16
over_80s,738741,16331.0,2022-09-16,2022-09-16
under_10s,2706908,32.0,2022-09-15,2022-09-15
10s,3106685,16.0,2022-09-15,2022-09-15
20s,3593612,70.0,2022-09-15,2022-09-15
30s,3548152,130.0,2022-09-15,2022-09-15
40s,3709061,380.0,2022-09-15,2022-09-15
50s,3083290,1157.0,2022-09-15,2022-09-15
60s,2532672,3211.0,2022-09-15,2022-09-15
70s,1247724,6369.0,2022-09-15,2022-09-15
over_80s,736366,16300.0,2022-09-15,2022-09-15
under_10s,2701447,32.0,2022-09-14,2022-09-14
10s,3098054,16.0,2022-09-14,2022-09-14
20s,3583668,69.0,2022-09-14,2022-09-14
30s,3538272,129.0,2022-09-14,2022-09-14
40s,3698353,379.0,2022-09-14,2022-09-14
50s,3073622,1150.0,2022-09-14,2022-09-14
60s,2524132,3210.0,2022-09-14,2022-09-14
70s,1242445,6351.0,2022-09-14,2022-09-14
over_80s,733045,16257.0,2022-09-14,2022-09-14
under_10s,2694044,32.0,2022-09-13,2022-09-13
10s,3085939,16.0,2022-09-13,2022-09-13
20s,3571049,68.0,2022-09-13,2022-09-13
30s,3525190,129.0,2022-09-13,2022-09-13
40s,3683533,377.0,2022-09-13,2022-09-13
50s,3060837,1146.0,2022-09-13,2022-09-13
60s,2513520,3206.0,2022-09-13,2022-09-13
70s,1235689,6331.0,2022-09-13,2022-09-13
over_80s,729333,16228.0,2022-09-13,2022-09-13
under_10s,2688723,32.0,2022-09-12,2022-09-12
10s,3078566,16.0,2022-09-12,2022-09-12
20s,3563679,68.0,2022-09-12,2022-09-12
30s,3516625,129.0,2022-09-12,2022-09-12
40s,3674110,376.0,2022-09-12,2022-09-12
50s,3053195,1141.0,2022-09-12,2022-09-12
60s,2507244,3205.0,2022-09-12,2022-09-12
70s,1232362,6327.0,2022-09-12,2022-09-12
over_80s,727321,16204.0,2022-09-12,2022-09-12
under_10s,2685152,32.0,2022-09-11,2022-09-11
10s,3073943,16.0,2022-09-11,2022-09-11
20s,3559273,68.0,2022-09-11,2022-09-11
30s,3511528,129.0,2022-09-11,2022-09-11
40s,3668310,375.0,2022-09-11,2022-09-11
50s,3048181,1141.0,2022-09-11,2022-09-11
60s,2502835,3200.0,2022-09-11,2022-09-11
70s,1229834,6324.0,2022-09-11,2022-09-11
over_80s,725831,16191.0,2022-09-11,2022-09-11
under_10s,2682744,32.0,2022-09-10,2022-09-10
10s,3070590,16.0,2022-09-10,2022-09-10
20s,3555904,68.0,2022-09-10,2022-09-10
30s,3508024,129.0,2022-09-10,2022-09-10
40s,3664362,375.0,2022-09-10,2022-09-10
50s,3044309,1139.0,2022-09-10,2022-09-10
60s,2498826,3198.0,2022-09-10,2022-09-10
70s,1227478,6315.0,2022-09-10,2022-09-10
over_80s,724436,16157.0,2022-09-10,2022-09-10
under_10s,2678848,31.0,2022-09-09,2022-09-09
10s,3065517,16.0,2022-09-09,2022-09-09
20s,3551214,68.0,2022-09-09,2022-09-09
30s,3502843,129.0,2022-09-09,2022-09-09
40s,3658375,375.0,2022-09-09,2022-09-09
50s,3038087,1138.0,2022-09-09,2022-09-09
60s,2492616,3192.0,2022-09-09,2022-09-09
70s,1224124,6305.0,2022-09-09,2022-09-09
over_80s,722325,16127.0,2022-09-09,2022-09-09
under_10s,2673017,31.0,2022-09-08,2022-09-08
10s,3056811,16.0,2022-09-08,2022-09-08
20s,3543120,68.0,2022-09-08,2022-09-08
30s,3494487,128.0,2022-09-08,2022-09-08
40s,3648721,374.0,2022-09-08,2022-09-08
50s,3028507,1136.0,2022-09-08,2022-09-08
60s,2482677,3181.0,2022-09-08,2022-09-08
70s,1218297,6290.0,2022-09-08,2022-09-08
over_80s,718923,16089.0,2022-09-08,2022-09-08
under_10s,2666861,31.0,2022-09-07,2022-09-07
10s,3047999,16.0,2022-09-07,2022-09-07
20s,3533918,67.0,2022-09-07,2022-09-07
30s,3484798,127.0,2022-09-07,2022-09-07
40s,3637868,372.0,2022-09-07,2022-09-07
50s,3018835,1135.0,2022-09-07,2022-09-07
60s,2473308,3178.0,2022-09-07,2022-09-07
70s,1212630,6274.0,2022-09-07,2022-09-07
over_80s,715744,16049.0,2022-09-07,2022-09-07
under_10s,2659552,30.0,2022-09-06,2022-09-06
10s,3037523,16.0,2022-09-06,2022-09-06
20s,3523296,67.0,2022-09-06,2022-09-06
30s,3473473,127.0,2022-09-06,2022-09-06
40s,3625316,371.0,2022-09-06,2022-09-06
50s,3007210,1132.0,2022-09-06,2022-09-06
60s,2462336,3170.0,2022-09-06,2022-09-06
70s,1206191,6263.0,2022-09-06,2022-09-06
over_80s,711580,16017.0,2022-09-06,2022-09-06
under_10s,2650651,30.0,2022-09-05,2022-09-05
10s,3023067,16.0,2022-09-05,2022-09-05
20s,3511590,67.0,2022-09-05,2022-09-05
30s,3460136,126.0,2022-09-05,2022-09-05
40s,3610057,371.0,2022-09-05,2022-09-05
50s,2993501,1129.0,2022-09-05,2022-09-05
60s,2450628,3168.0,2022-09-05,2022-09-05
70s,1199042,6252.0,2022-09-05,2022-09-05
over_80s,708068,15990.0,2022-09-05,2022-09-05
under_10s,2646078,30.0,2022-09-04,2022-09-04
10s,3017723,16.0,2022-09-04,2022-09-04
20s,3507132,67.0,2022-09-04,2022-09-04
30s,3454911,126.0,2022-09-04,2022-09-04
40s,3604491,370.0,2022-09-04,2022-09-04
50s,2988799,1126.0,2022-09-04,2022-09-04
