age,confirmed_cases,death_cases,date,date_dt
50s,4032361,1404.0,2023-04-05,2023-04-05
60s,3373447,3897.0,2023-04-05,2023-04-05
70s,1729358,7780.0,2023-04-05,2023-04-05
over_80s,1055939,20448.0,2023-04-05,2023-04-05
under_10s,3116644,37.0,2023-04-04,2023-04-04
10s,3841541,23.0,2023-04-04,2023-04-04
20s,4495383,80.0,2023-04-04,2023-04-04
30s,4517814,160.0,2023-04-04,2023-04-04
40s,4699995,466.0,2023-04-04,2023-04-04
50s,4030490,1404.0,2023-04-04,2023-04-04
60s,3371849,3897.0,2023-04-04,2023-04-04
70s,1728359,7777.0,2023-04-04,2023-04-04
over_80s,1055200,20445.0,2023-04-04,2023-04-04
under_10s,3115997,37.0,2023-04-03,2023-04-03
10s,3839761,23.0,2023-04-03,2023-04-03
20s,4493225,80.0,2023-04-03,2023-04-03
30s,4515508,160.0,2023-04-03,2023-04-03
40s,4697933,466.0,2023-04-03,2023-04-03
50s,4028811,1404.0,2023-04-03,2023-04-03
60s,3370506,3897.0,2023-04-03,2023-04-03
70s,1727464,7776.0,2023-04-03,2023-04-03
over_80s,1054695,20438.0,2023-04-03,2023-04-03
under_10s,3115227,37.0,2023-04-01,2023-04-01
10s,3838014,23.0,2023-04-01,2023-04-01
20s,4491190,80.0,2023-04-01,2023-04-01
30s,4513313,160.0,2023-04-01,2023-04-01
40s,4695768,465.0,2023-04-01,2023-04-01
50s,4027041,1403.0,2023-04-01,2023-04-01
60s,3368840,3895.0,2023-04-01,2023-04-01
70s,1726424,7772.0,2023-04-01,2023-04-01
over_80s,1054010,20435.0,2023-04-01,2023-04-01
under_10s,3114709,37.0,2023-03-31,2023-03-31
10s,3836593,23.0,2023-03-31,2023-03-31
20s,4489823,79.0,2023-03-31,2023-03-31
30s,4511909,160.0,2023-03-31,2023-03-31
40s,4694448,465.0,2023-03-31,2023-03-31
50s,4025746,1403.0,2023-03-31,2023-03-31
60s,3367635,3895.0,2023-03-31,2023-03-31
70s,1725684,7772.0,2023-03-31,2023-03-31
over_80s,1053583,20431.0,2023-03-31,2023-03-31
under_10s,3114154,37.0,2023-03-30,2023-03-30
10s,3835205,23.0,2023-03-30,2023-03-30
20s,4488214,79.0,2023-03-30,2023-03-30
30s,4510296,160.0,2023-03-30,2023-03-30
40s,4692951,465.0,2023-03-30,2023-03-30
50s,4024465,1403.0,2023-03-30,2023-03-30
60s,3366398,3894.0,2023-03-30,2023-03-30
70s,1724972,7770.0,2023-03-30,2023-03-30
over_80s,1053107,20424.0,2023-03-30,2023-03-30
under_10s,3113559,37.0,2023-03-29,2023-03-29
10s,3833670,23.0,2023-03-29,2023-03-29
20s,4486422,79.0,2023-03-29,2023-03-29
30s,4508638,160.0,2023-03-29,2023-03-29
40s,4691350,464.0,2023-03-29,2023-03-29
50s,4023077,1403.0,2023-03-29,2023-03-29
60s,3365170,3892.0,2023-03-29,2023-03-29
70s,1724228,7769.0,2023-03-29,2023-03-29
over_80s,1052609,20418.0,2023-03-29,2023-03-29
under_10s,3112868,37.0,2023-03-28,2023-03-28
10s,3831611,23.0,2023-03-28,2023-03-28
20s,4484330,79.0,2023-03-28,2023-03-28
30s,4506715,160.0,2023-03-28,2023-03-28
40s,4689487,464.0,2023-03-28,2023-03-28
50s,4021499,1403.0,2023-03-28,2023-03-28
60s,3363722,3890.0,2023-03-28,2023-03-28
70s,1723400,7768.0,2023-03-28,2023-03-28
over_80s,1051957,20407.0,2023-03-28,2023-03-28
under_10s,3112214,37.0,2023-03-27,2023-03-27
10s,3829717,23.0,2023-03-27,2023-03-27
20s,4482379,79.0,2023-03-27,2023-03-27
30s,4504765,160.0,2023-03-27,2023-03-27
40s,4687668,463.0,2023-03-27,2023-03-27
50s,4020030,1403.0,2023-03-27,2023-03-27
60s,3362549,3889.0,2023-03-27,2023-03-27
70s,1722630,7766.0,2023-03-27,2023-03-27
over_80s,1051508,20403.0,2023-03-27,2023-03-27
under_10s,3111403,37.0,2023-03-25,2023-03-25
10s,3827637,23.0,2023-03-25,2023-03-25
20s,4480323,79.0,2023-03-25,2023-03-25
30s,4502792,160.0,2023-03-25,2023-03-25
40s,4685767,463.0,2023-03-25,2023-03-25
50s,4018347,1403.0,2023-03-25,2023-03-25
60s,3360957,3889.0,2023-03-25,2023-03-25
70s,1721737,7764.0,2023-03-25,2023-03-25
over_80s,1050932,20399.0,2023-03-25,2023-03-25
under_10s,3110829,37.0,2023-03-24,2023-03-24
10s,3825892,22.0,2023-03-24,2023-03-24
20s,4478827,79.0,2023-03-24,2023-03-24
30s,4501363,160.0,2023-03-24,2023-03-24
40s,4684357,462.0,2023-03-24,2023-03-24
50s,4017186,1403.0,2023-03-24,2023-03-24
60s,3359839,3889.0,2023-03-24,2023-03-24
70s,1721005,7763.0,2023-03-24,2023-03-24
over_80s,1050442,20396.0,2023-03-24,2023-03-24
under_10s,3110210,37.0,2023-03-23,2023-03-23
10s,3824213,22.0,2023-03-23,2023-03-23
20s,4477316,79.0,2023-03-23,2023-03-23
30s,4499932,160.0,2023-03-23,2023-03-23
40s,4682818,461.0,2023-03-23,2023-03-23
50s,4015930,1403.0,2023-03-23,2023-03-23
60s,3358750,3889.0,2023-03-23,2023-03-23
70s,1720323,7761.0,2023-03-23,2023-03-23
over_80s,1049965,20389.0,2023-03-23,2023-03-23
under_10s,3109599,37.0,2023-03-22,2023-03-22
10s,3822409,22.0,2023-03-22,2023-03-22
20s,4475576,79.0,2023-03-22,2023-03-22
30s,4498298,160.0,2023-03-22,2023-03-22
40s,4681175,461.0,2023-03-22,2023-03-22
50s,4014545,1402.0,2023-03-22,2023-03-22
60s,3357457,3886.0,2023-03-22,2023-03-22
70s,1719528,7758.0,2023-03-22,2023-03-22
over_80s,1049470,20382.0,2023-03-22,2023-03-22
under_10s,3108874,37.0,2023-03-21,2023-03-21
10s,3820087,22.0,2023-03-21,2023-03-21
20s,4473611,79.0,2023-03-21,2023-03-21
30s,4496461,160.0,2023-03-21,2023-03-21
40s,4679310,461.0,2023-03-21,2023-03-21
50s,4013024,1402.0,2023-03-21,2023-03-21
60s,3356134,3882.0,2023-03-21,2023-03-21
70s,1718639,7757.0,2023-03-21,2023-03-21
over_80s,1048836,20378.0,2023-03-21,2023-03-21
under_10s,3108141,37.0,2023-03-20,2023-03-20
10s,3817898,22.0,2023-03-20,2023-03-20
20s,4471764,79.0,2023-03-20,2023-03-20
30s,4494642,160.0,2023-03-20,2023-03-20
40s,4677563,461.0,2023-03-20,2023-03-20
50s,4011638,1400.0,2023-03-20,2023-03-20
60s,3355023,3882.0,2023-03-20,2023-03-20
70s,1717905,7757.0,2023-03-20,2023-03-20
over_80s,1048386,20373.0,2023-03-20,2023-03-20
under_10s,3107831,0.0,2023-03-20,2023-03-20
10s,3817181,0.0,2023-03-20,2023-03-20
20s,4471181,0.0,2023-03-20,2023-03-20
30s,4494062,0.0,2023-03-20,2023-03-20
40s,4677012,0.0,2023-03-20,2023-03-20
50s,4011176,0.0,2023-03-20,2023-03-20
60s,3354642,0.0,2023-03-20,2023-03-20
70s,1717714,0.0,2023-03-20,2023-03-20
over_80s,1048231,0.0,2023-03-20,2023-03-20
under_10s,3107311,37.0,2023-03-18,2023-03-18
10s,3815655,22.0,2023-03-18,2023-03-18
20s,4469903,79.0,2023-03-18,2023-03-18
30s,4492932,160.0,2023-03-18,2023-03-18
40s,4675808,461.0,2023-03-18,2023-03-18
50s,4010089,1400.0,2023-03-18,2023-03-18
60s,3353616,3880.0,2023-03-18,2023-03-18
70s,1717134,7755.0,2023-03-18,2023-03-18
over_80s,1047775,20365.0,2023-03-18,2023-03-18
under_10s,3106755,37.0,2023-03-17,2023-03-17
10s,3813956,22.0,2023-03-17,2023-03-17
20s,4468695,79.0,2023-03-17,2023-03-17
30s,4491742,160.0,2023-03-17,2023-03-17
40s,4674583,461.0,2023-03-17,2023-03-17
50s,4008955,1400.0,2023-03-17,2023-03-17
60s,3352633,3879.0,2023-03-17,2023-03-17
70s,1716553,7754.0,2023-03-17,2023-03-17
over_80s,1047356,20363.0,2023-03-17,2023-03-17
under_10s,3106165,37.0,2023-03-16,2023-03-16
10s,3812449,22.0,2023-03-16,2023-03-16
20s,4467420,79.0,2023-03-16,2023-03-16
30s,4490435,160.0,2023-03-16,2023-03-16
40s,4673320,461.0,2023-03-16,2023-03-16
50s,4007899,1400.0,2023-03-16,2023-03-16
60s,3351643,3878.0,2023-03-16,2023-03-16
70s,1715941,7751.0,2023-03-16,2023-03-16
over_80s,1046891,20360.0,2023-03-16,2023-03-16
under_10s,3105519,37.0,2023-03-15,2023-03-15
10s,3810717,22.0,2023-03-15,2023-03-15
20s,4465917,79.0,2023-03-15,2023-03-15
30s,4489022,160.0,2023-03-15,2023-03-15
40s,4671986,460.0,2023-03-15,2023-03-15
50s,4006650,1399.0,2023-03-15,2023-03-15
60s,3350627,3878.0,2023-03-15,2023-03-15
70s,1715302,7744.0,2023-03-15,2023-03-15
over_80s,1046489,20352.0,2023-03-15,2023-03-15
under_10s,3104770,37.0,2023-03-14,2023-03-14
10s,3808637,22.0,2023-03-14,2023-03-14
20s,4464150,79.0,2023-03-14,2023-03-14
30s,4487341,160.0,2023-03-14,2023-03-14
40s,4670394,460.0,2023-03-14,2023-03-14
50s,4005272,1399.0,2023-03-14,2023-03-14
60s,3349343,3878.0,2023-03-14,2023-03-14
70s,1714527,7740.0,2023-03-14,2023-03-14
over_80s,1045896,20346.0,2023-03-14,2023-03-14
under_10s,3104036,37.0,2023-03-13,2023-03-13
10s,3806541,22.0,2023-03-13,2023-03-13
20s,4462449,79.0,2023-03-13,2023-03-13
30s,4485528,160.0,2023-03-13,2023-03-13
40s,4668771,460.0,2023-03-13,2023-03-13
50s,4003961,1399.0,2023-03-13,2023-03-13
60s,3348316,3878.0,2023-03-13,2023-03-13
70s,1713827,7740.0,2023-03-13,2023-03-13
over_80s,1045500,20340.0,2023-03-13,2023-03-13
under_10s,3103688,0.0,2023-03-13,2023-03-13
10s,3805810,0.0,2023-03-13,2023-03-13
20s,4461825,0.0,2023-03-13,2023-03-13
30s,4484916,0.0,2023-03-13,2023-03-13
40s,4668163,0.0,2023-03-13,2023-03-13
50s,4003482,0.0,2023-03-13,2023-03-13
60s,3347928,0.0,2023-03-13,2023-03-13
70s,1713589,0.0,2023-03-13,2023-03-13
over_80s,1045330,0.0,2023-03-13,2023-03-13
under_10s,3103098,37.0,2023-03-11,2023-03-11
10s,3804285,22.0,2023-03-11,2023-03-11
20s,4460442,79.0,2023-03-11,2023-03-11
30s,4483714,160.0,2023-03-11,2023-03-11
40s,4666890,460.0,2023-03-11,2023-03-11
50s,4002286,1399.0,2023-03-11,2023-03-11
60s,3346872,3877.0,2023-03-11,2023-03-11
70s,1712936,7734.0,2023-03-11,2023-03-11
over_80s,1044866,20328.0,2023-03-11,2023-03-11
under_10s,3102495,37.0,2023-03-10,2023-03-10
10s,3802697,22.0,2023-03-10,2023-03-10
20s,4459010,79.0,2023-03-10,2023-03-10
30s,4482400,160.0,2023-03-10,2023-03-10
40s,4665558,459.0,2023-03-10,2023-03-10
50s,4001037,1399.0,2023-03-10,2023-03-10
60s,3345674,3877.0,2023-03-10,2023-03-10
70s,1712269,7734.0,2023-03-10,2023-03-10
over_80s,1044382,20326.0,2023-03-10,2023-03-10
under_10s,3101848,37.0,2023-03-09,2023-03-09
10s,3801114,22.0,2023-03-09,2023-03-09
20s,4457445,79.0,2023-03-09,2023-03-09
30s,4480958,160.0,2023-03-09,2023-03-09
40s,4664166,459.0,2023-03-09,2023-03-09
50s,3999687,1398.0,2023-03-09,2023-03-09
60s,3344549,3875.0,2023-03-09,2023-03-09
70s,1711534,7731.0,2023-03-09,2023-03-09
over_80s,1043886,20320.0,2023-03-09,2023-03-09
under_10s,3101237,37.0,2023-03-08,2023-03-08
10s,3799658,22.0,2023-03-08,2023-03-08
20s,4455791,79.0,2023-03-08,2023-03-08
30s,4479304,160.0,2023-03-08,2023-03-08
40s,4662722,459.0,2023-03-08,2023-03-08
50s,3998238,1396.0,2023-03-08,2023-03-08
60s,3343233,3872.0,2023-03-08,2023-03-08
70s,1710778,7727.0,2023-03-08,2023-03-08
over_80s,1043336,20309.0,2023-03-08,2023-03-08
under_10s,3100549,37.0,2023-03-07,2023-03-07
10s,3798002,22.0,2023-03-07,2023-03-07
20s,4453907,79.0,2023-03-07,2023-03-07
30s,4477349,160.0,2023-03-07,2023-03-07
40s,4660969,459.0,2023-03-07,2023-03-07
50s,3996555,1394.0,2023-03-07,2023-03-07
60s,3341652,3870.0,2023-03-07,2023-03-07
70s,1709875,7726.0,2023-03-07,2023-03-07
over_80s,1042641,20302.0,2023-03-07,2023-03-07
under_10s,3099879,37.0,2023-03-06,2023-03-06
10s,3796543,22.0,2023-03-06,2023-03-06
20s,4452028,79.0,2023-03-06,2023-03-06
30s,4475376,159.0,2023-03-06,2023-03-06
40s,4659157,459.0,2023-03-06,2023-03-06
50s,3994899,1392.0,2023-03-06,2023-03-06
60s,3340225,3867.0,2023-03-06,2023-03-06
70s,1708997,7722.0,2023-03-06,2023-03-06
over_80s,1042111,20297.0,2023-03-06,2023-03-06
under_10s,3099064,37.0,2023-03-04,2023-03-04
10s,3794980,22.0,2023-03-04,2023-03-04
20s,4449945,79.0,2023-03-04,2023-03-04
30s,4473253,159.0,2023-03-04,2023-03-04
40s,4657085,459.0,2023-03-04,2023-03-04
50s,3993011,1391.0,2023-03-04,2023-03-04
60s,3338458,3864.0,2023-03-04,2023-03-04
70s,1707949,7720.0,2023-03-04,2023-03-04
over_80s,1041357,20289.0,2023-03-04,2023-03-04
under_10s,3098532,37.0,2023-03-03,2023-03-03
10s,3793918,22.0,2023-03-03,2023-03-03
20s,4448236,79.0,2023-03-03,2023-03-03
30s,4471569,158.0,2023-03-03,2023-03-03
40s,4655577,459.0,2023-03-03,2023-03-03
50s,3991457,1391.0,2023-03-03,2023-03-03
60s,3336958,3864.0,2023-03-03,2023-03-03
70s,1707023,7718.0,2023-03-03,2023-03-03
over_80s,1040711,20286.0,2023-03-03,2023-03-03
under_10s,3098028,37.0,2023-03-02,2023-03-02
10s,3792987,22.0,2023-03-02,2023-03-02
20s,4446613,79.0,2023-03-02,2023-03-02
30s,4469864,158.0,2023-03-02,2023-03-02
40s,4653966,459.0,2023-03-02,2023-03-02
50s,3990006,1390.0,2023-03-02,2023-03-02
60s,3335668,3863.0,2023-03-02,2023-03-02
70s,1706207,7715.0,2023-03-02,2023-03-02
over_80s,1040234,20280.0,2023-03-02,2023-03-02
under_10s,3097581,37.0,2023-03-01,2023-03-01
10s,3792180,22.0,2023-03-01,2023-03-01
20s,4445456,79.0,2023-03-01,2023-03-01
30s,4468670,158.0,2023-03-01,2023-03-01
40s,4652869,459.0,2023-03-01,2023-03-01
50s,3989003,1388.0,2023-03-01,2023-03-01
60s,3334778,3862.0,2023-03-01,2023-03-01
70s,1705656,7713.0,2023-03-01,2023-03-01
over_80s,1039819,20270.0,2023-03-01,2023-03-01
under_10s,3097010,37.0,2023-02-28,2023-02-28
10s,3791086,22.0,2023-02-28,2023-02-28
20s,4443583,79.0,2023-02-28,2023-02-28
30s,4466779,158.0,2023-02-28,2023-02-28
40s,4651103,459.0,2023-02-28,2023-02-28
50s,3987298,1388.0,2023-02-28,2023-02-28
60s,3333234,3859.0,2023-02-28,2023-02-28
70s,1704645,7712.0,2023-02-28,2023-02-28
over_80s,1038983,20263.0,2023-02-28,2023-02-28
under_10s,3096527,37.0,2023-02-27,2023-02-27
